operator_id,user_id,company_name,license_number,vehicle_types,licensed_at
OP001,USR002,Buea City Transport,LIC0012025,"Bus,Minibus",2024-01-15 08:00:00
OP002,USR005,Douala Express,LIC0022025,"Bus,Taxi",2024-01-20 09:30:00
OP003,USR008,Yaounde Metro,LIC0032025,Bus,2024-02-05 10:15:00
OP004,USR012,South West Shuttle,LIC0042025,Minibus,2024-02-10 11:00:00
OP005,USR015,Littoral Transport,LIC0052025,"Bus,Minibus,Taxi",2024-02-15 12:30:00
OP006,USR018,Central Commuters,LIC0062025,Bus,2024-02-20 13:45:00
OP007,USR022,Buea Urban,LIC0072025,"Minibus,Taxi",2024-03-01 14:00:00
OP008,USR025,Douala City Buses,LIC0082025,Bus,2024-03-05 15:30:00
OP009,USR028,Yaounde Shuttle,LIC0092025,Minibus,2024-03-10 16:45:00
OP010,USR032,Fako Transport,LIC0102025,"Bus,Minibus,Taxi",2024-03-15 08:30:00
OP011,USR035,Wouri Transport,LIC0112025,Bus,2024-03-20 09:45:00
OP012,USR038,Mfoundi Commuters,LIC0122025,"Minibus,Taxi",2024-03-25 10:00:00
OP013,USR042,Mount Cameroon Transport,LIC0132025,Bus,2024-04-01 11:30:00
OP014,USR045,Bonaberi Express,LIC0142025,Minibus,2024-04-05 12:45:00
OP015,USR048,Melen Shuttle,LIC0152025,"Bus,Taxi",2024-04-10 13:00:00
OP016,USR052,Bokwoango Transport,LIC0162025,Bus,2024-04-15 14:30:00
OP017,USR055,Akwa City Transport,LIC0172025,"Minibus,Taxi",2024-04-20 15:45:00
OP018,USR058,Nlongkak Metro,LIC0182025,Bus,2024-04-25 16:00:00
OP019,USR062,Molyko Commuters,LIC0192025,Minibus,2024-05-01 08:45:00
OP020,USR065,Deido Transport,LIC0202025,"Bus,Taxi",2024-05-05 09:00:00
OP021,USR068,Essos Shuttle,LIC0212025,Bus,2024-05-10 10:30:00
OP022,USR072,Bonduma Transport,LIC0222025,Minibus,2024-05-15 11:45:00
OP023,USR075,Ndokoti Express,LIC0232025,"Bus,Taxi",2024-05-20 12:00:00
OP024,USR078,Omnisport Metro,LIC0242025,Bus,2024-05-25 13:30:00
OP025,USR082,Mile 17 Transport,LIC0252025,Minibus,2024-05-30 14:45:00
OP026,USR085,Bassa Commuters,LIC0262025,"Bus,Taxi",2024-06-01 15:00:00
OP027,USR088,Mokolo Shuttle,LIC0272025,Bus,2024-06-05 16:30:00
OP028,USR092,Buea Town Transport,LIC0282025,Minibus,2024-06-10 08:15:00
OP029,USR095,Bonamoussadi Express,LIC0292025,"Bus,Taxi",2024-06-15 09:30:00
OP030,USR098,Etoudi Metro,LIC0302025,Bus,2024-06-20 10:45:00
OP031,USR003,Malingo Transport,LIC0312025,Minibus,2024-06-25 11:00:00
OP032,USR007,Bepanda Commuters,LIC0322025,"Bus,Taxi",2024-06-30 12:30:00
OP033,USR010,Nkondom Shuttle,LIC0332025,Bus,2024-07-05 13:45:00
OP034,USR014,Tsinga Transport,LIC0342025,Minibus,2024-07-10 14:00:00
OP035,USR017,Carrefour Kotto Express,LIC0352025,"Bus,Taxi",2024-07-15 15:30:00
OP036,USR020,Biyem-Assi Metro,LIC0362025,Bus,2024-07-20 16:45:00
OP037,USR024,Mvog-Ada Transport,LIC0372025,Minibus,2024-07-25 08:00:00
OP038,USR027,Nkolbisson Commuters,LIC0382025,"Bus,Taxi",2024-07-30 09:30:00
OP039,USR030,Elig-Essono Shuttle,LIC0392025,Bus,2024-08-05 10:45:00
OP040,USR034,Ngoa-Ekele Transport,LIC0402025,Minibus,2024-08-10 11:00:00
OP041,USR037,Bastos Express,LIC0412025,"Bus,Taxi",2024-08-15 12:30:00
OP042,USR040,Mvan Metro,LIC0422025,Bus,2024-08-20 13:45:00
OP043,USR044,Efoulan Transport,LIC0432025,Minibus,2024-08-25 14:00:00
OP044,USR047,Nsimeyong Commuters,LIC0442025,"Bus,Taxi",2024-08-30 15:30:00
OP045,USR050,Briqueterie Shuttle,LIC0452025,Bus,2024-09-05 16:45:00
OP046,USR053,Nkol-Eton Transport,LIC0462025,Minibus,2024-09-10 08:30:00
OP047,USR056,Etoa-Meki Express,LIC0472025,"Bus,Taxi",2024-09-15 09:45:00
OP048,USR059,Nkolmesseng Metro,LIC0482025,Bus,2024-09-20 10:00:00
OP049,USR063,Nkolndongo Transport,LIC0492025,Minibus,2024-09-25 11:30:00
OP050,USR067,Mendong Commuters,LIC0502025,"Bus,Taxi",2024-09-30 12:45:00
